sentiment_score,chapter
0.177465625,1
0.16770645161290326,2
0.298152,3
0.4447045454545455,4
0.2533424242424242,5
0.35512686567164187,6
0.15306567164179108,7
0.1737383333333333,8
0.1821373333333333,9
0.18750704225352116,10
0.0803449275362319,11
0.2384681818181818,12
0.288759649122807,13
0.35609722222222223,14
0.3129800000000001,15
0.2726132075471698,16
0.1640948717948718,17
0.2146425806451614,18
0.3178875,19
0.03580161290322582,20
0.19425423728813557,21
0.4957470588235292,22
0.10794081632653056,23
0.1418365853658537,24
0.25595384615384614,25
0.2591436170212766,26
0.16886274509803914,27
0.27108181818181826,28
0.24715157894736844,29
0.3621433333333333,30
0.281945,31
0.2874477272727272,32
0.19436875,33
0.048750000000000016,34
0.13745277777777773,35
0.017653521126760566,36
0.1715813559322034,37
0.3307500000000001,38
0.20420126582278478,39
0.03064430379746835,40
0.07920813953488373,41
0.19159830508474576,42
0.22928270270270257,43
0.2858394366197183,44
0.04036808510638298,45
0.04225230769230769,46
0.08681568627450979,47
0.05567624999999996,48
0.16650964912280705,49
0.18445764705882356,50
0.1293989247311828,51
0.1748,52
0.13003333333333333,53
0.2971547945205478,54
0.28467169811320747,55
0.06192781954887219,56
0.15085500000000002,57
0.10456899999999997,58
0.25199784172661877,59
0.2908927536231884,60
0.28556428571428566,61
